,name,place_id,types,lat,lng,rating,user_ratings_total
523,西口小瑞士,ChIJMdlinc2LbjQRq6hQa1dgxCs,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2317298,120.4488853,3.9,1577.0
524,蝙蝠洞瀑布,ChIJUalgY62KbjQR6zGh_oOih1w,"['tourist_attraction', 'point_of_interest', 'establishment']",23.1809738,120.5248763,3.8,192.0
525,梅嶺糯米橋,ChIJuRL6IrOKbjQR_qKBEEtNyfE,"['tourist_attraction', 'point_of_interest', 'establishment']",23.183043100000006,120.5266084,3.4,36.0
526,青山港汕,ChIJA5tS-I7UbTQRgTSHBah9p7Y,"['tourist_attraction', 'point_of_interest', 'establishment']",23.228264000000006,120.081551,3.5,6.0
527,財團法人台灣省台南市學甲區中洲陳桂記大宗祠,ChIJq6qqqlPVbTQR9g-UQpN5jU4,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2429558,120.16213909999998,4.5,45.0
528,顏水龍紀念公園,ChIJt0xQH0eHbjQRX8sSV7CPHZw,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.243326,120.2671,4.0,137.0
529,下營區北極殿上帝廟,ChIJmT6bQFCHbjQRd7QVNO8IyjA,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.2347767,120.2610043,4.6,2084.0
530,九品蓮花生態教育園區,ChIJ8_D6zrmHbjQRl3RaAY4GpcY,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2450363,120.3169388,3.9,831.0
531,東隆文化中心,ChIJw6jEed_UbTQRUAYj9Ht2hNw,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",23.238274800000006,120.1117066,4.4,43.0
532,台南北門井仔腳瓦盤鹽田,ChIJq6qqqtUqbDQR_ohO2eK2x4E,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2588308,120.107568,4.3,13463.0
533,九品蓮花園,ChIJn6fyz7mHbjQRMx4sZbCFFlQ,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2449668,120.3169096,4.1,120.0
534,大壩石堤,ChIJZYSNIh-IbjQRFgoHkLH_iKs,"['tourist_attraction', 'point_of_interest', 'establishment']",23.202549,120.3684248,4.3,50.0
535,觀湖亭,ChIJjXwC66_0bjQRrXLZq0RkqQg,"['tourist_attraction', 'gym', 'health', 'point_of_interest', 'establishment']",23.2428524,120.5381662,4.5,33.0
536,臨濮堂(施琅將軍紀念館),ChIJyRrem3PVbTQR3pd8AEY4k7Y,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2146186,120.1391754,3.8,37.0
537,北門區紅樹林保護區,ChIJ21v6gDMrbDQREywcJ09lEkA,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2632984,120.0955484,3.3,4.0
538,北門潟湖,ChIJp8JLlSwrbDQRHZtsQ4HSGyo,"['tourist_attraction', 'point_of_interest', 'establishment']",23.259725,120.105535,4.5,63.0
539,水晶教堂,ChIJAQAAQMUqbDQR6j5bN-bwrbs,"['tourist_attraction', 'point_of_interest', 'establishment']",23.264491,120.1226713,3.8,8455.0
540,北門婚紗美地,ChIJA31qE9AqbDQRk9fQTL3xyB8,"['tourist_attraction', 'point_of_interest', 'establishment']",23.264463,120.122934,4.1,19.0
541,錢來也商店（創始店）,ChIJaXa719oqbDQRMk9Z9ePw3tE,"['tourist_attraction', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",23.2681164,120.1236343,3.8,2972.0
542,北門出張所,ChIJKcnmM9sqbDQRSlNY7zV-f10,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2688568,120.1243317,4.1,75.0
543,台南市學甲區大灣社區發展協會,ChIJ____P7l_bjQRWeQIakwCo0k,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2101933,120.1874011,4.4,9.0
544,柳營八老爺牧場,ChIJz6qqqvmGbjQRm_2zNWWTN64,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2682427,120.3004264,3.8,651.0
545,德元埤荷蘭村,ChIJq6qqqrqIbjQRWYIyq8JCnnc,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2640299,120.3399432,3.9,6021.0
546,德元埤,ChIJ2SvWbSaGbjQReU_uFQljC9E,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2639422,120.3359872,4.0,29.0
547,尖山埤水庫風景區,ChIJTa4g_CCJbjQR7UDePNm3JUw,"['tourist_attraction', 'point_of_interest', 'establishment']",23.265072,120.392297,4.1,297.0
548,殉工碑,ChIJ2cRhLCCIbjQRSzHcX3dUXC0,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2055775,120.3670454,4.2,13.0
549,天下第一軍師孔明廟,ChIJPWTHCRiIbjQRS80-C5flshQ,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2130119,120.3665806,4.5,24.0
