,Unnamed: 0,name,place_id,types,lat,lng,rating,user_ratings_total,Tag,Busy_Time
731,731,後壁綠色隧道,ChIJcc8UQW2PbjQR9EFYY8Aa59U,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3624034,120.3747373,4.2,68,"['全部', '冬天', '夏天']","[['4時', '29%'], ['5時', '31%'], ['6時', '34%'], ['7時', '38%'], ['8時', '41%'], ['9時', '45%'], ['10時', '48%'], ['11時', '51%'], ['12時', '54%'], ['13時', '59%'], ['14時', '69%'], ['15時', '79%'], ['16時', '87%'], ['17時', '86%'], ['18時', '75%'], ['19時', '58%'], ['20時', '44%'], ['21時', '35%'], ['22時', '30%'], ['23時', '27%'], ['0時', '26%'], ['1時', '26%'], ['2時', '27%'], ['3時', '27%']]"
732,732,清山寺,ChIJT3pHqVXrbjQRHS-Y3BxTQiE,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.427995,120.5313871,4.5,4,[],[]
733,733,中崙澐水溪溫泉,ChIJPSBrgWWUbjQRfDwPRTnZUfk,"['tourist_attraction', 'natural_feature', 'point_of_interest', 'establishment']",23.373691,120.5620679,3.8,469,"['全部', '環境', '水質', '腳', '感覺', '舒服', '風景', '自然', '假日', '空間', '廁所']",[]
734,734,鹿角埤生態園區,ChIJtctMMiCTbjQRbDKvEq-834U,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.3949594,120.5064791,3.2,32,[],[]
735,735,白水湖壽島,ChIJrQfz4RsobDQRzokSYiT9Uzk,"['tourist_attraction', 'point_of_interest', 'establishment']",23.4009833,120.1514525,4.4,450,"['全部', '潮汐', '馬桶', '美', '風景', '夕陽', '電影', '堤防', '釣魚', '海岸']","[['4時', '1%'], ['5時', '0%'], ['6時', '1%'], ['7時', '5%'], ['8時', '11%'], ['9時', '22%'], ['10時', '35%'], ['11時', '45%'], ['12時', '47%'], ['13時', '41%'], ['14時', '40%'], ['15時', '64%'], ['16時', '100%'], ['17時', '91%'], ['18時', '45%'], ['19時', '13%'], ['20時', '3%'], ['21時', '1%'], ['22時', '0%'], ['23時', '1%'], ['0時', '0%'], ['1時', '0%'], ['2時', '0%'], ['3時', '0%']]"
736,736,東石鄉白水湖--壽島,ChIJ8T7y4RsobDQRwFWoUO_AbBg,"['tourist_attraction', 'point_of_interest', 'establishment']",23.4043554,120.1520355,4.5,139,"['全部', '潮汐', '馬桶', '美', '風景', '夕陽', '電影', '堤防', '釣魚', '海岸']","[['4時', '1%'], ['5時', '0%'], ['6時', '1%'], ['7時', '5%'], ['8時', '11%'], ['9時', '22%'], ['10時', '35%'], ['11時', '45%'], ['12時', '47%'], ['13時', '41%'], ['14時', '40%'], ['15時', '64%'], ['16時', '100%'], ['17時', '91%'], ['18時', '45%'], ['19時', '13%'], ['20時', '3%'], ['21時', '1%'], ['22時', '0%'], ['23時', '1%'], ['0時', '0%'], ['1時', '0%'], ['2時', '0%'], ['3時', '0%']]"
737,737,東石漁人碼頭,ChIJo-Z3SJgnbDQRbkeN9Rx3Mis,"['tourist_attraction', 'point_of_interest', 'establishment']",23.4487536,120.1352728,4.1,17149,"['全部', '玩', '蚵', '規劃', '風箏', '攤販', '草地', '水池', '遊客', '遮', '腹地']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '12%'], ['10時', '18%'], ['11時', '24%'], ['12時', '28%'], ['13時', '33%'], ['14時', '41%'], ['15時', '53%'], ['16時', '61%'], ['17時', '57%'], ['18時', '41%'], ['19時', '21%'], ['20時', '8%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
738,738,國寶阿祖的彩繪古厝,ChIJxWshrEqdbjQRkLc-cVRyn5w,"['tourist_attraction', 'point_of_interest', 'establishment']",23.414462,120.181555,5,2,[],[]
739,739,瑞茂戲院,ChIJL79LfDWdbjQROmf1DOrz-Ew,"['tourist_attraction', 'point_of_interest', 'establishment']",23.4162533,120.1822187,3.9,14,[],[]
740,740,品皇咖啡觀光工廠,ChIJwYYKF3KabjQR9XYLTRdAnYo,"['tourist_attraction', 'point_of_interest', 'establishment']",23.4417307,120.3334077,3.9,13514,"['全部', '咖啡豆', '攤販', '遊覽車', '休息站', '市集', '生產', '農產品', '倉庫', '商業化']","[['6時', '0%'], ['7時', '0%'], ['8時', '28%'], ['9時', '52%'], ['10時', '68%'], ['11時', '67%'], ['12時', '56%'], ['13時', '64%'], ['14時', '93%'], ['15時', '100%'], ['16時', '64%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
741,741,鹿東社區埤頭堀,ChIJC_Sw6-6abjQRwEE6SZkNV9Y,"['tourist_attraction', 'point_of_interest', 'establishment']",23.4145654,120.3130413,4.4,19,[],[]
742,742,嘉南大圳洗衣亭,ChIJUZeskDGQbjQR0WcoBcqCJmU,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3840268,120.3828279,3.9,30,[],[]
743,743,嘉義千光寺,ChIJVVVVFUmRbjQRwbpAFcz0I2o,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.4372314,120.4181428,4.3,52,[],[]
